#operation,time
Create 100 files	2.9573	2.744	3.288	4.5475	4.288	4.767
Create 100 files (parallel)	0.6275000000000001	0.55	0.714	2.164666666666667	2.076	2.274
Unlink 100 files	1.4866	1.299	1.691	2.4543333333333335	2.402	2.573
Unlink 100 files (parallel)	1.4401	1.358	1.496	2.4372	2.347	2.508
ls with 1000 files	2.268888888888889	2.172	2.365	0.946111111111111	0.323	1.073
`find' with 1000 dirs/files	3.1941	1.814	4.022	4.220111111111112	4.101	4.289
Write 1GB	4.0071111111111115	3.929	4.09	6.788000000000001	6.625	6.935
Read 1GB	5.1455	4.97	5.358	5.5726	5.367	5.795
Time to 1st byte	0.13540000000000002	0.111	0.156	3.1435555555555554	2.992	3.423
