#operation,time
Create 100 files	7.42377777778	6.946	7.901	13.1271	12.074	14.436
Create 100 files (parallel)	3.4966	2.999	3.919	10.8953	10.307	11.73
Unlink 100 files	2.87355555556	2.725	3.173	3.08477777778	2.738	3.335
Unlink 100 files (parallel)	3.2572	2.879	3.755	3.6122	3.165	4.155
ls with 1000 files	0.2246	0.176	0.33	0.783333333333	0.676	0.91
`find' with 1000 dirs/files	0.2876	0.241	0.343	4.2565	3.601	4.852
Write 1GB	5.27366666667	4.351	6.727	7.71922222222	5.992	10.631
Read 1GB	2.3336	1.919	2.861	2.90988888889	2.864	2.982
Time to 1st byte	0.0154444444444	0.011	0.02	0.0413333333333	0.029	0.081
